K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
AK6 KQT95 732 K6|J982 A8 84 98743|QT754  AQJT6 QT2|3 J76432 K95 AJ5
A87 AT3 KT93 A54|K96 QJ952 J84 Q6|QJT2 K4 Q7 KJ972|543 876 A652 T83
J5 QT2 KT72 AKQ7|QT62 J94 J JT832|K9873 A6 AQ853 6|A4 K8753 964 954
QJ9 K85 Q7 AKJ85|AT543 QJ7 J3 Q32|8 AT9 AKT6542 T9|K762 6432 98 764
K98 A6 QT53 AKJ5|43 J75 72 Q98764|QJ7 Q983 AK986 2|AT652 KT42 J4 T3
Q7 AK5 T965 AQ95|AJ4 Q6432 K7 KT3|K962 T8 AQJ3 J82|T853 J97 842 764
KJ3 AJ83 K86 KQ4|T K972 A972 8752|AQ9862 QT QT3 A6|754 654 J54 JT93
AK53 QT9 K43 K82|9874 64 AJT872 T|QT AJ83 Q6 AQJ94|J62 K752 95 7653
A64 AK53 AJ T863|Q982 T64 Q98 954|KJ7 J987 K754 A2|T53 Q2 T632 KQJ7
QJ86 AK KJ6 J964|K954 7542 AQ72 8|A7 Q83 T854 AKT2|T32 JT96 93 Q753
AQJT2 JT2 AQ9 K3|K8 A953 K653 984|9763 KQ86 J7 AJT|54 74 T842 Q7652
KT A873 Q96 AK63|J832 QT9 J8 T975|AQ54 KJ T5432 QJ|976 6542 AK7 842
AK87 T94 KQ KJT2|QT96 AJ2 943 754| KQ83 8762 AQ863|J5432 765 AJT5 9
AK85 KJ92 K7 K98|Q73 8 Q854 AQ632|T6 AQ63 AJ96 JT4|J942 T754 T32 75
975 AK4 QJ KQJ43|T Q7 T976532 A72|KQJ62 T85 AK4 96|A843 J9632 8 T85
K9 AJ6 A952 QJ32|T7 Q9752 874 K87|A542 T83 KT AT64|QJ863 K4 QJ63 95
K74 Q83 AQJT A83|AJ852 54 52 Q742|Q63 A9762 K98 K5|T9 KJT 7643 JT96
AQ9 AT AJ953 J62|T8754 98 76 Q853|KJ KQ7654 K42 74|632 J32 QT8 AKT9
AK95 A8 AQ93 T62|QJ87 9432 J4 J54|T432 KQ KT765 AK|6 JT765 82 Q9873
A9653 AJ5 T5 AQ7|KQ8 Q643 8 KT642|7 K9 AKQ76432 93|JT42 T872 J9 J85
A74 AJ86 AT53 Q4|Q83 7 9 AKJT7653|KJ652 Q432 KQJ6 |T9 KT95 8742 982
J8 KQJ A876 AQ43|53 T97632 T542 2|KQ7 A85 KJ9 K986|AT9642 4 Q3 JT75
42 AJT3 Q62 AKQ5|J953 95 K87 T863|AQT8 Q76 AJT5 94|K76 K842 943 J72
AQ9 QT5 Q973 AJ4|J2 J72 652 Q9753|KT84 A843 AK84 T|7653 K96 JT K862
KQ84 A8 KQT9 QJ5|T3 Q9652 65 A876|A6 KT3 A743 T943|J9752 J74 J82 K2
AT4 A2 9763 AQJ6|Q8 5 AJT85 87432|K32 JT9743 KQ2 K|J9765 KQ86 4 T95
643 AK5 J6 AKJ62|AK75 642 KT4 Q73|QT9 QJ73 AQ752 T|J82 T98 983 9854
A85 75 AK87 A632|KT4 K9432 952 J8|J63 AQ QJT643 Q5|Q972 JT86  KT974
AJT AK3 8642 A87|5 842 KT975 J543|KQ87 965 AJ3 KT6|96432 QJT7 Q Q92
AK5 KJ5 A2 QT862|QT32 42 63 K9753|J97 AT3 KQJ984 J|864 Q9876 T75 A4
Q973 KJT2 KT3 AK|J54 74 J62 J9843|A2 AQ985 AQ75 72|KT86 63 984 QT65
AQ97 AKT AT2 853|K8642 Q76 9763 6|J5 85432 KQ5 AK2|T3 J9 J84 QJT974
KQ8 JT AQ52 KT92|A543 A8543 4 QJ3|JT9 KQ2 J A87654|762 976 KT98763 
A43 T862 AT4 AK5|K876 953 K832 QT|QJ5 KQ4 QJ65 874|T92 AJ7 97 J9632
AQ5 Q7542 K6 KQ3|K72 KJT 87543 T7|63 A63 AQT2 J984|JT984 98 J9 A652
942 AQT8 A6 AQT5|K8653 2 Q54 K642|AQJ 9765 KJT93 3|T7 KJ43 872 J987
753 AKJ64 KJ K96|J964 T52 A84 Q85|AKQ2 Q93 Q95 A74|T8 87 T7632 JT32
K85 K86 A953 AK9|J92 954 Q876 JT5|AQ6 Q7 KJ2 Q6432|T743 AJT32 T4 87
Q3 A94 AJ76 A953|JT764 T7 K43 J76|82 KQ6 Q82 KQ842|AK95 J8532 T95 T
K63 Q6 AK94 K543|Q AT98 QT653 QJ8|A854 K543 J72 AT|JT972 J72 8 9762
AT76 AJ K654 KQT|KQ5 Q97632 2 863|932 KT4 AJ9 A975|J84 85 QT873 J42
Q943 J87 A7 AKJT|T86 AQ5 Q8 98753|K7 KT32 KJT52 Q2|AJ52 964 9643 64
AJ9 8543 AQ74 A5|32 QJ96 T53 QJ32|Q8 K72 KJ98 KT74|KT7654 AT 62 986
KJ54 A875 AJ AT7|QT862 2 764 9843|97 KQJ KQT93 QJ5|A3 T9643 852 K62
T842 Q6 AK9 AKJ9|KJ93 T4 Q8765 43|A KJ2 JT2 Q87652|Q765 A98753 43 T
K2 K92 A65 KQ842|J5 JT64 K72 T765|QT9 AQ853 T43 A9|A87643 7 QJ98 J3
AKQ5 T9 A92 KJ42|J97643 K42 63 96|82 QJ53 KQT4 AQ5|T A876 J875 T873
K973 K6 AKQ6 J83|AJ64 A85 JT953 9|85 QT97 84 AKQT4|QT2 J432 72 7652
AK3 QT876 AT A42|62 954 KJ97 Q986|Q95 AJ32 Q5 KJ73|JT874 K 86432 T5
KT82 K62 AQ4 K94|J5 J753 K532 QT5|A73 AT94 JT7 A73|Q964 Q8 986 J862
K973 K7 A653 AJ9|AJ8542 85 4 KT62|Q6 AQ42 KQJ7 Q83|T JT963 T982 754
KJ53 AT4 A742 K6|AT974 652 T93 72|82 J83 KQ AQJ853|Q6 KQ97 J865 T94
K8542 A85 AT9 AQ|7 T943 J87543 J7|Q9 KQ6 Q62 K9843|AJT63 J72 K T652
KQ KQ4 Q743 KJT4|AJ642 T32 K6 932|T87 65 AJ8 AQ865|953 AJ987 T952 7
AK7 QT43 Q952 A8|Q9863 75 K3 Q965|JT42 AJ8 AT KJ42|5 K962 J8764 T73
AKQ64 864 AQ7 T6|T7 AQJT5 63 8732|953 K73 T4 AKQJ9|J82 92 KJ9852 54
KQ2 Q532 AKJ8 Q4|83 T Q9762 T9652|AJ97654 AK4  KJ8|T J9876 T543 A73
AK87 AQT 74 KJ65|94 K72 AJT9 T982|J 8643 KQ32 AQ73|QT6532 J95 865 4
AKQ7 T65 KJT2 Q3|532 84 Q8 AK9865|94 AK973 A764 T7|JT86 QJ2 953 J42
A6 A7543 A52 AJ8|72 8 JT97643 743|KQT53 KQT96 K8 9|J984 J2 Q KQT652
AQJT9 K95 AT3 Q3|73 J82 8 AJT9742|K82 AQT643 KQ54 |654 7 J9762 K865
A54 AQT T98 AQT6|K986 J53 43 J754|J32 K87 AKQJ75 9|QT7 9642 62 K832
KQ3 542 J2 AKQ84|754 J6 K85 T9762|JT962 AT7 AQT93 |A8 KQ983 764 J53
K3 AKJ QT83 QT54|QT T98732 J6 A73|AJ654 654 K7 K96|9872 Q A9542 J82
A62 Q94 A2 KQ985|J83 AJT8 743 T76|KQ74 K653 KQT6 A|T95 72 J985 J432
KQJ8 J75 KT6 KQ3|T52 963 84 76542|976 AT42 AQ2 JT8|A43 KQ8 J9753 A9
KT843 KQ6 A4 QJ6|AQ 9843 K8765 85|J76 AJT2 T93 AK7|952 75 QJ2 T9432
KT8 AQ97 A87 A53|J2 K8542 QJ2 Q87|AQ74 63 KT3 K964|9653 JT 9654 JT2
KJT KQ4 KQ732 KT|8764 87 J954 875|AQ32 AT965 A Q94|95 J32 T86 AJ632
A752 AJ75 AT5 K6|98 94 72 AJT9432|QJ3 KT3 KQJ63 85|KT64 Q862 984 Q7
KJ63 AT6 AT54 A4|987 87 J98 J9732|AT52 KJ2 76 KQT6|Q4 Q9543 KQ32 85
AKT4 KT5 QJ9 KT8|J962 Q732 42 Q94|Q3 A964 K863 AJ5|875 J8 AT75 7632
KT Q96 A73 AQT82|98765 JT7 KJ98 9|AQJ42 K QT42 K64|3 A85432 65 J753
AQT6 KQ3 T9 KQJ6|92 J982 J7 AT874|KJ5 AT6 K85432 3|8743 754 AQ6 952
K85 AQ82 A94 Q75|T74 653 J8763 94|AQ62 KT9 K2 AT86|J93 J74 QT5 KJ32
K82 AKJ T972 AQ8|J64 953 Q8643 54|QT975 T76 AK KJ2|A3 Q842 J5 T9763
AQJ9 AQ3 54 QT97|83 865 Q76 85432|K76 KJ74 KJ982 6|T542 T92 AT3 AKJ
KJ854 AJ9 K42 A3|Q93 Q82 A8 Q9874|A K43 QJT973 K62|T762 T765 65 JT5
Q62 AT8 AK4 QJT9|J93 J963 Q7 7642|AT54 Q4 T985 AK3|K87 K752 J632 85
AQT K97 J75 AK72|J543 854 QT86 83|72 A632 AK3 QJ94|K986 QJT 942 T65
J84 J8 AKJ96 KQT|KQ 63 Q87532 987|AT62 AQ74 T J652|9753 KT952 4 A43
AQ2 Q643 AJ74 QJ|974 J82 863 9753|J853 AK975 Q AT4|KT6 T KT952 K862
A75 KQ7 32 AQ862|9 JT852 Q6 KJT93|KQT62 943 AK84 5|J843 A6 JT975 74
K52 AJ8 AT874 A6|A76 T76542 J K84|J94 K KQ53 QJT92|QT83 Q93 962 753
AQ54 AT62 K7 QT8|8 J5 AT8542 A764|KT762 K3 J KJ532|J93 Q9874 Q963 9
Q85 AQJ98 A4 K42|KT9 KT64 852 J98|A7632 7 QJ63 AT7|J4 532 KT97 Q653
KT9 54 KQ873 AQJ|64 K873 5 T98765|Q8 AQT96 962 K42|AJ7532 J2 AJT4 3
AKJ5 96 AK32 652|T62 J32 85 KJ943|Q84 AQ75 QJT94 T|973 KT84 76 AQ87
AKJ7 764 A7 KT98|9643 KT8 T6543 3|Q AQ53 KQ2 Q7654|T852 J92 J98 AJ2
AKQJ J8 A654 J96|753 532 KJ83 842|42 AT76 T7 AKQ73|T986 KQ94 Q92 T5
Q95 JT AK832 AJ2|T A62 QJ75 87543|A872 KQ983 T6 KT|KJ643 754 94 Q96
Q52 63 A65 AKQ82|JT KJ82 KQJT432 |AK98763 AQT97 7 |4 54 98 JT976543
A876 AKJ9 QJ8 J5|KJ32 T54 7654 K8|9 Q763 AK2 AT763|QT54 82 T93 Q942
KQ5 KJT5 AJ65 K7|J98 A2 Q94 JT985|AT2 74 K873 A632|7643 Q9863 T2 Q4
AT4 AKJ93 85 AT2|976 T86 KQJ93 95|J852 Q5 A74 KQJ4|KQ3 742 T62 8763
J3 KQJ43 A62 AT4|K87 92 T4 K86532|AQ65 T8 KQ973 Q7|T942 A765 J85 J9
JT98 AK2 A54 A54|K74 9 K987632 K2|A52 QJ87 QJT J86|Q63 T6543  QT973
AT3 AQ72 AQ8 JT6|Q652 95 KJT32 83|J9 J 9654 AKQ952|K874 KT8643 7 74
KQJ5 QJ73 96 AQ7|T72 T65 KT843 T2|A4 A984 QJ752 98|9863 K2 A KJ6543
AQ95 T2 Q83 AK74|J32 743 A7 Q9862|K8 AQ965 K652 T5|T764 KJ8 JT94 J3
K962 Q63 AKQ K85|J73 T T632 QJT74|AQ5 A974 84 A632|T84 KJ852 J975 9
T96 AQ4 76 AKQJ7|AQ74 762 T852 64|KJ3 T853 AK93 T8|852 KJ9 QJ4 9532
T8 KJ74 AK97 A82|AQ95 985 Q65 T43|J42 AT JT32 KQ95|K763 Q632 84 J76
QJ943 KQ6 A3 A84|AT  KQ976542 T97|72 AJ8752 8 KQJ3|K865 T943 JT 652
JT8 AQ2 K7 AK984|Q743 976 QJ62 52|K96 K54 A984 J73|A52 JT83 T53 QT6
K982 Q9 K954 AQJ|QJ KJT52 T83 K93|AT A873 QJ6 8654|76543 64 A72 T72
A7 AJ63 AT42 QJ2|T5 5 Q86 AK87643|KQJ842 KQT7 J93 |963 9842 K75 T95
KT8 A76 J42 AK75|9754 J8542 Q73 6|AQ3 QT AT65 T984|J62 K93 K98 QJ32
A76 AQ7 A4 J9732|QJT8 T6 Q97652 5|K2 J92 KJT83 K64|9543 K8543  AQT8
Q96 KJ AK42 K653|KT743 T7 J653 J4|J85 AQ983 Q9 AT9|A2 6542 T87 Q872
J7 KJT42 KQ5 AQ6|952 97653 94 K72|AQT843 Q8 A2 J83|K6 A JT8763 T954
KT84 KJ3 K6 AKT4|7653 AQ962 42 52|AQJ2 54 JT8 QJ76|9 T87 AQ9753 983
AJT75 KQ9 K87 Q4|K86 854 9652 T53|432 AT72 AQJ4 92|Q9 J63 T3 AKJ876
AQ3 865 J82 AKJT|JT8 42 AT765 853|K QJT73 KQ43 Q42|976542 AK9 9 976
KT8 K95 KQ83 AJ2|J2 A8762 975 743|Q97 QJ3 J2 KQT65|A6543 T4 AT64 98
AQ9 QT985 K32 AJ|KT87632 32 87 Q5|J5 AKJ6 QJT5 974|4 74 A964 KT8632
AQJ8 QT2 JT6 AQJ|KT7642 87 A95 95|93 AKJ65 KQ84 64|5 943 732 KT8732
AT4 K74 AQJ95 Q5|J852 QT93 T764 8|KQ9 AJ2  KJ97432|763 865 K832 AT6
AQ3 AK5 KT4 9862|J8 JT82 J985 AJ7|KT652 Q3 A62 KT4|974 9764 Q73 Q53
AK4 T9542 AT8 A8|QT Q73 J976 T963|976 AJ6 KQ532 Q7|J8532 K8 4 KJ542
Q92 AKQ5 QJ7 K65|J754 3 654 AT743|A JT62 AKT98 Q82|KT863 9874 32 J9
A75 KQ8 KJ86 Q43|T642 JT743 A5 T5|KJ983 A2 Q4 AK87|Q 965 T9732 J962
QT3 AKQ9 754 AQ8|7654 T76 KT2 T62|K82 853 AQJ KJ54|AJ9 J42 9863 973
QJT8 AQ A652 K92|62 8765 KQJ8 J85|AK7543 KJ2 T AQ3|9 T943 9743 T764
A83 AT963 A64 A6|Q765 K K9852 J54|J9 QJ54 Q7 KQ873|KT42 872 JT3 T92
AT75 Q9 KJ6 KQ87|J42 AJ73 T8 T542|KQ8 KT84 Q943 A3|963 652 A752 J96
KQJ3 Q83 AK95 53|974 J64 T42 9764|T2 A5 QJ763 AQJT|A865 KT972 8 K82
JT97 AJ8 A983 AQ|A54 972 T6 T7653|KQ2 KT43 K54 K84|863 Q65 QJ72 J92
653 AK4 A4 KJ875|72 7652 6 AQT643|AJ8 3 KQJT9852 9|KQT94 QJT98 73 2
AT6 AJ K8543 A65|943 K86 QT72 Q72|KQ2 Q9743 AJ96 J|J875 T52  KT9843
T86 AK9 AKT8 J94|J743 J872 Q4 Q76|AKQ9 Q54 652 853|52 T63 J973 AKT2
Q964 KJ4 AKQ 852|AJT8 86 754 A743|72 AQ9753 J32 KQ|K53 T2 T986 JT96
Q2 K865 AJT3 AQ6|T864 T9 K9642 T4|K AQJ4 Q8 KJ8732|AJ9753 732 75 95
AK93 A6 AJ54 J73|T8652 Q87 72 965|J7 KJT54 K98 AT8|Q4 932 QT63 KQ42
K96 AJ98 AT KQ64|A732 T54 K43 973|QJT85 K6 8762 AJ|4 Q732 QJ95 T852
Q42 AQ4 AJ4 A932|JT83 J 752 QJT65|K76 KT9632 K9 K7|A95 875 QT863 84
QT AKT7 K83 KT85|J732 952 A972 A2|AK94 3 Q54 QJ974|865 QJ864 JT6 63
K87 Q4 KQ943 AJ6|AQ942 982 JT 753|T AJ73 A52 KQ942|J653 KT65 876 T8
A652 K54 K865 AJ|KQJ973 986 Q9 K9|T4 AQ72 AT743 Q6|8 JT3 J2 T875432
AQT5 AQ62 Q6 J64|J973 K73 8542 85|K82 T9 AJ3 AKQ97|64 J854 KT97 T32
KT A752 AT73 AJ5|9863 K4 98642 T4| QT93 KJ5 KQ9732|AQJ7542 J86 Q 86
953 JT652 AKJ AQ|AQ76 87 T932 J93|J2 AKQ93 Q85 K86|KT84 4 764 T7542
AK96 Q8 AT42 AT9|T7 AJT63 65 8542|J54 K754 J KQJ73|Q832 92 KQ9873 6
AQT5 Q9 JT96 AK4|KJ94 T4 Q32 QT63|7632 AJ65 AK85 J|8 K8732 74 98752
KT43 KQJ A7 QT53|82 A98762 J985 6|AQ96 T43 Q6 AK42|J75 5 KT432 J987
K53 A2 AK53 K863|AT84 873 JT6 J97|97 KQJT964 Q AQ4|QJ62 5 98742 T52
532 AK43 QT5 AK6|AQJ987 T985 K 54|K Q62 A83 Q98732|T64 J7 J97642 JT
JT AK53 AKJ JT75|8 Q2 Q8762 AQ632|AKQ532 76 T953 K|9764 JT984 4 984
K54 AQT97 QT A92|J83 8542 865 Q76|AQT7 6 A973 JT83|962 KJ3 KJ42 K54
K7 AKT93 AJ6 642|T62 Q42 8 KQJT93|AQJ4 J76 K974 75|9853 85 QT532 A8
A76 AKQ84 Q9 J84|KJ854 3 T754 973|T932 96 KJ62 AKQ|Q JT752 A83 T652
AQJ A6 QT53 Q876|3 Q98432 964 J32|K75 KJT J7 AKT94|T98642 75 AK82 5
KJ97 K63 AKJ4 Q9|A2 J854 T52 K865|Q8 AQT2 Q8 JT743|T6543 97 9763 A2
Q4 QJ8 AK8 KQ643|T853 A965 J73 95|AJ976 K72 Q652 A|K2 T43 T94 JT872
T43 AKJ4 AJT4 K8|6 QT965 865 J643|82 72 KQ9 AQT952|AKQJ975 83 732 7
AT7 KJT7 AJ65 K7|KQ2 93 Q97 AJT65|85 AQ642 K82 Q92|J9643 85 T43 843
AKT92 A73 K98 K5|J84 642 T QT8764|Q3 KJT85 AQ732 3|765 Q9 J654 AJ92
KQJ Q5 Q9652 AQ6|87 JT6 AT84 KT84|A542 A87 K J9732|T963 K9432 J73 5
QJ92 Q973 AQ9 AJ|K5 T865 J2 Q9872|AT83 AKJ4 K76 T5|764 2 T8543 K643
AK63 QJ87 J86 KJ|QJ542 6 T97 QT72|9 AKT43 42 A8643|T87 952 AKQ53 95
A6 AQJ2 AT63 JT3|532 97653 K A976|KQT98 K8 Q984 K5|J74 T4 J752 Q842
972 AQ6 AQ632 KQ|QJT K732 J874 95|AK43 T95 KT A763|865 J84 95 JT842
AKQ6 K76 T87 KT4|T854 J8 K52 J732|93 QT943 AQ9 AQ6|J72 A52 J643 985
QT2 K42 A632 AKJ|K9763 963 KJ T93|J84 AQ87 QT85 Q7|A5 JT5 974 86542
QT5 AQ85 K42 KJ7|A842 K92 JT965 2|96 T64 AQ3 AQT54|KJ73 J73 87 9863
AKJ8 A82 JT54 Q3|QT93 4 9632 K964|7642 KQ973 Q8 AT|5 JT65 AK7 J8752
AKT5 A94 AT8 T84|4 T83 J9743 Q762|Q862 62 Q52 AK53|J973 KQJ75 K6 J9
KQ32 A3 KT62 K86|965 KJ85 J84 T74|A Q97 Q73 AQJ952|JT874 T642 A95 3
965 KT8 AKJ KQ84|82 A QT8654 JT65|AJ743 QJ43 73 A9|KQT 97652 92 732
T94 AKQ8 AQJ8 94|J83 65 9652 QJ86|KQ76 JT42 K4 A72|A52 973 T73 KT53
AK6 KT83 AT62 K7|QJT85 72 Q73 T96|97 A9 K85 AQ8432|432 QJ654 J94 J5
KQT7 A53 J7 AK63|8 T762 T5 QJT875|AJ94 KQJ84 K862 |6532 9 AQ943 942
AK3 AT95 A42 T53|965 KQJ862 85 J7|QJT872 3 KQ AKQ6|4 74 JT9763 9842
AT4 J64 A842 AK5|KQ63 A83 T6 8432|J98 KQT KJ QJT96|752 9752 Q9753 7
AQ98 AK Q962 Q86|T74 J942 AJ53 A5|K5 Q3 K874 KT732|J632 T8765 T J94
QJ KQ4 AJT5 K942|986 A3 K7432 QJ7|AK532 T82 Q96 AT|T74 J9765 8 8653
A85 T654 AQ AKT8|QJT 982 854 Q742|K97 KQ KT7 J9653|6432 AJ73 J9632 
Q73 A54 654 AKQ2|AKT864 96 8732 J|J QJT2 AKJ9 T764|952 K873 QT 9853
K92 86 AKT82 AJ7|A8764 QJ94 96 52|Q5 K72 QJ73 K843|JT3 AT53 54 QT96
AQ984 QJT K2 AT7|53 53 A98 QJ9832|JT AK84 QJ754 54|K762 9762 T63 K6
JT2 AK3 A8 K9765|974 T765 JT65 84|AQ853 842 K93 QJ|K6 QJ9 Q742 AT32
AJT K62 KQ4 A982|KQ64 J9 A6532 T6|985 AQ87 T7 KQ54|732 T543 J98 J73
QT642 AJ J63 AK3|A7 8752 KQ942 97|KJ3 K643 A QJ864|985 QT9 T875 T52
A654 AJ74 K54 A3|KT3 652 AJ732 JT|8 KQT983 Q98 KQ9|QJ972  T6 876542
Q97 AQT7 AJ2 Q94|JT4 6 Q963 T8753|A86 J84 K875 AK6|K532 K9532 T4 J2
AQ7 K8652 KQ Q95|T86 T AJ9832 K63|KJ42 AQ9 T65 AJ2|953 J743 74 T874
AKQ8 KJT AT85 52|J72 54 QJ9 JT864|63 AQ72 762 KQ97|T954 9863 K43 A3
KT74 AJ2 AJ6 K82|62 94 T984 QJ965|AJ9 KT653 KQ73 3|Q853 Q87 52 AT74
AKT AT 754 AT964|63 84 J62 QJ8732|8742 QJ5 AKT98 K|QJ95 K97632 Q3 5
KJ3 KJ763 AT3 K3|Q862 QT95 98 J65|AT9 82 KQJ6 AQ97|754 A4 7542 T842
AK KJ8 Q32 K8632|QJ876 QT976 974 |543 32 AK AJT975|T92 A54 JT865 Q4
A97 98752 AK AJ4|864 T3 QJ9752 KQ|KJT AQJ64 83 652|Q532 K T64 T9873
J62 AK AT932 A82|A75 J832 J65 JT9|KQ93 75 Q74 KQ43|T84 QT964 K8 765
KT AK54 J942 KQ2|92 QJT976 75 J53|A83 832 KQ83 AT6|QJ7654  AT6 9874
J874 AT2 AK75 A8| KQ875 QJ943 643|AQT532  86 KQT95|K96 J9643 T2 J72
AKQ8 KJ 983 Q875|J QT4 K72 AKJT62|T3 A75 AQJ54 943|976542 98632 T6 
Q8652 A8 AK7 KJ3|AK73 6 J9832 982|9 KQJT97543 Q6 A|JT4 2 T54 QT7654
A6 Q764 AK42 K82|KJ7 KT2 763 JT75|T8 A53 Q85 AQ643|Q95432 J98 JT9 9
AK7 AKJ3 T96 Q74|Q 2 AJ85432 J865|842 QT874 K7 AK9|JT9653 965 Q T32
753 KJ AQ54 AJ43|Q6 8732 973 KT85|AJT9 AQ9 KT2 976|K842 T654 J86 Q2
AT7 K93 K52 AQT8|Q985 J64 J63 J62|J3 A85 AQT97 975|K642 QT72 84 K43
AK43 K5 Q42 A873|J972 Q42 T875 K9|QT8 AJ97 AK6 QT4|65 T863 J93 J652
AKQ JT4 QT932 K5|74 97532 84 J763|T9862 Q6 AKJ5 A8|J53 AK8 76 QT942
KQ4 KQ4 K86 AT64|T52 3 QJT953 853|A9876 AJT7 2 KQ9|J3 98652 A74 J72
K8 A762 KT62 AJ4|QJ752 JT9 A73 83|43 K85 QJ95 KQT2|AT96 Q43 84 9765
AQJ AK942 93 QT2|9862 Q8 KQ872 94|K4 T53 AJ4 KJ875|T753 J76 T65 A63
A32 Q84 KQ964 A7|QJ9 K975 32 JT85|KT64 JT6 A K9632|875 A32 JT875 Q4
AK3 Q8 KQ96 Q532|JT98 96532 842 9|72 J74 AJ3 AJT64|Q654 AKT T75 K87
A764 A62 A7 KT53|J32 KJ73 T854 76|KQ9 QT94 9 AQJ82|T85 85 KQJ632 94
AQJ 62 K85 KQ983|T52 QJT543 Q32 5|K643 K98 JT A642|987 A7 A9764 JT7
AQ965 83 KQ2 KJ5|KT3 KJ54 97 Q873|J742 A62 AT864 A|8 QT97 J53 T9642
QJ73 A964 K3 AJ2|65 T852 87642 K7|A9 K7 AQ95 QT954|KT842 QJ3 JT 863
A5 Q876 AKT5 A54|432 A3 943 QJT92|KQT6 KT52 J6 K76|J987 J94 Q872 83
AK95 A85 KJ3 763|8643 T3 AQ2 J942|Q2 KQJ974 98 KQT|JT7 62 T7654 A85
A6 T96 AKQT4 KJ4|QJT875 K8 9853 9|432 A2 J762 AQ85|K9 QJ7543  T7632
A83 AQ63 T53 AQ4|KJ752 5 Q984 K87|Q9 KJT742 AK J93|T64 98 J762 T652
KQ965 J97 AQ6 K8| QT65 832 T97643|J8742 A84 J7 AQ5|AT3 K32 KT954 J2
KJ5 984 AQ74 AQ8|T6 Q76 9862 KT95|9843 AKJ53 K3 63|AQ72 T2 JT5 J742
T94 A54 AJ97 AK8|QJ8 QJ8762  T753|AK763 93 KT5 Q62|52 KT Q86432 J94
K4 KQ83 QJ8 A763|J965 JT97 K542 K|A83 A62 A973 JT4|QT72 54 T6 Q9852
KJ85 K7 K954 AK7|A 9653 AJ72 JT64|9762 AQJ82 Q Q53|QT43 T4 T863 982
AT52 A96 KT74 A8|93 JT73 Q982 K62|Q7 KQ8 AJ5 QJT73|KJ864 542 63 954
AJ765 Q93 A76 AT|432 8654 JT53 Q2|Q9 AJ KQ84 98743|KT8 KT72 92 KJ65
Q9 AQJT AK95 853|T54 962 T7 QT962|AJ72 K843 QJ42 A|K863 75 863 KJ74
KQ52 AKJ7 Q4 632|T8 T98 72 JT9754|AJ743 Q654 J6 AQ|96 32 AKT9853 K8
AKT7 KJ K63 K842|942 AQ954 7542 3|Q83 82 QJ9 AQJ96|J65 T763 AT8 T75
Q83 AK96 Q4 AJ73|KT7 QJ432 AJ832 |AJ 85 KT97 KQT92|96542 T7 65 8654
J2 AQJ2 AT2 KJ43|A86 K984 987 A62|KQ T76 KQ653 Q98|T97543 53 J4 T75
AQ9 J92 K943 AJ4|K83 A654 T6 Q753|J76 7 AQJ75 K962|T542 KQT83 82 T8
AKQ82 K42 A95 76|T73 QJ95 T874 T4|5 AT3 Q6 AKJ8532|J964 876 KJ32 Q9
AQ3 AT75 Q85 A96|874 Q632 7432 74|KJT965  AK96 KT8|2 KJ984 JT QJ532
AQ32 A3 873 AJT8|JT9 JT842 K92 Q2|874 KQ5 AQJ4 654|K65 976 T65 K973
A84 AK976 982 A7|JT62 QT4 3 KT962|KQ 853 AKQJT7 83|9753 J2 654 QJ54
AQJ5 8432 KQ8 KT|9763 KQ5 A97 Q74|K4 AJT76 JT2 A96|T82 9 6543 J8532
AJ6 A7 KT9 AJ986|T875 86 A53 K754|KQ943 KJ43 QJ2 T|2 QT952 8764 Q32
43 AKQ3 A532 QJ4|K862 5 QJ7 86532|QJ75 J9864 96 AK|AT9 T72 KT84 T97
A643 AQ KJ42 K95|9 8532 865 T6432|J75 K964 AT QJ87|KQT82 JT7 Q973 A
J3 A9632 AK9 A64|KT76 K7 85 98752|AQ42 J5 QJ64 KJ3|985 QT84 T732 QT
J84 KQ6 KJT6 AK2|96 T98 532 Q7653|K752 A32 A97 T98|AQT3 J754 Q84 J4
97653 AKQ KT A94|Q T983 63 KQJ865|AT4 4 AQJ97542 3|KJ82 J7652 8 T72
AK92 Q954 Q3 KJ2|5 AKJ72 875 T873|QJ7643  AKT6 A54|T8 T863 J942 Q96
AJ92 Q976 K7 AQ3|QT8543 T84 5 974| AJ532 QJ86 KJ62|K76 K AT9432 T85
954 AQ987 A2 AJT|T732 42 K5 85432|KJ6 KJ653 87 KQ9|AQ8 T QJT9643 76
A43 KJ3 KQ52 K97|K8 75 T973 AJ842|JT76 A82 AJ86 Q3|Q952 QT964 4 T65
AK9 A53 AQ7 9653|QT87 4 962 KJ742|J2 K87 KJ843 AQT|6543 QJT962 T5 8
Q753 A87 AKQ7 98|842 JT654 9 T653|AKJT9 Q3 8643 A7|6 K92 JT52 KQJ42
AQ9 AK987 KJT 75|7 32 98762 KJT98|T6532 QT4 A AQ43|KJ84 J65 Q543 62
AJ7 K43 K843 AJ8|K94 QT875 QJ2 72|Q8653 AJ6 AT75 K|T2 92 96 QT96543
Q64 AQ JT3 AKT75|J2 T64 62 Q96432|AT873 K7 AQ87 J8|K95 J98532 K954 
